Date,Port,ticker,shares,price
1/27/2026,US_live_port,COR,-457,356.14
1/27/2026,US_live_port,CORT,2254,46.22
1/27/2026,US_live_port,COST,-172,970.28
1/27/2026,US_live_port,COUR,-4653,6.18
1/27/2026,US_live_port,CPAY,-727,317.96
1/27/2026,US_live_port,CPB,-4619,27.37
1/27/2026,US_live_port,CPF,979,31.69
1/27/2026,US_live_port,CPK,-788,127.65
1/27/2026,US_live_port,CPNG,5950,20.09
1/27/2026,US_live_port,CPRI,5153,23.89
1/27/2026,US_live_port,CPRT,2593,40.37
1/27/2026,US_live_port,CPRX,-9322,24.07
1/27/2026,US_live_port,CPS,576,31.38
1/27/2026,US_live_port,CPT,739,108.92
1/27/2026,US_live_port,CR,-1846,185.64
1/27/2026,US_live_port,CRAI,62,192.99
1/27/2026,US_live_port,CRBG,8108,30.22
1/27/2026,US_live_port,CRC,-760,50.68
1/27/2026,US_live_port,CRDO,91,129.57
1/27/2026,US_live_port,CRGY,4887,9.22
1/27/2026,US_live_port,CRH,3148,123.68
1/27/2026,US_live_port,CRI,875,34.86
1/27/2026,US_live_port,CRK,-6742,22.47
1/27/2026,US_live_port,CRL,-1756,219.53
1/27/2026,US_live_port,CRM,2728,228.53
1/27/2026,US_live_port,CRNX,-1551,52.965
1/27/2026,US_live_port,CROX,236,84.15
1/27/2026,US_live_port,CRS,743,348.99
1/27/2026,US_live_port,CRSP,-523,54.26
1/27/2026,US_live_port,CRUS,-2317,129.6
1/27/2026,US_live_port,CRVL,-69,68.45
1/27/2026,US_live_port,CRWD,-746,119.165
1/27/2026,US_live_port,CSCO,-61,78.68
1/27/2026,US_live_port,CSGP,-3870,66.22
1/27/2026,US_live_port,CSIQ,132,22.15
1/27/2026,US_live_port,CSL,-187,346.1
1/27/2026,US_live_port,CSR,50,64.36
1/27/2026,US_live_port,CSTM,-8774,22.69
1/27/2026,US_live_port,CSV,-2648,42.11
1/27/2026,US_live_port,CSW,-267,315.09
1/27/2026,US_live_port,CSX,-8478,37.67
1/27/2026,US_live_port,CTAS,1535,191.21
1/27/2026,US_live_port,CTBI,-973,61.36
1/27/2026,US_live_port,CTMX,-9030,5.93
1/27/2026,US_live_port,CTO,435,17.72
1/27/2026,US_live_port,CTRA,2162,27.52
1/27/2026,US_live_port,CTRE,1989,36.14
1/27/2026,US_live_port,CTS,-642,51.07
1/27/2026,US_live_port,CTSH,2091,84.65
1/27/2026,US_live_port,CTVA,2164,73
1/27/2026,US_live_port,CUBE,-2722,37.36
1/27/2026,US_live_port,CUBI,275,75.91
1/27/2026,US_live_port,CUZ,-4081,25.55
1/27/2026,US_live_port,CVBF,10276,19.6
1/27/2026,US_live_port,CVCO,30,632.89
1/27/2026,US_live_port,CVI,163,22.07
1/27/2026,US_live_port,CVLG,-859,25.51
1/27/2026,US_live_port,CVLT,-220,89.13
1/27/2026,US_live_port,CVNA,-540,95.544
1/27/2026,US_live_port,CVS,-2621,72
1/27/2026,US_live_port,CVX,-1439,169.05
1/27/2026,US_live_port,CW,906,660.18
1/27/2026,US_live_port,CWEN,8002,36.82
1/27/2026,US_live_port,CWH,2779,14.24
1/27/2026,US_live_port,CWK,205,16.28
1/27/2026,US_live_port,CWST,3776,105.82
1/27/2026,US_live_port,CWT,-3754,44.54
1/27/2026,US_live_port,CXM,1883,6.56
1/27/2026,US_live_port,CXT,-46,49.68
1/27/2026,US_live_port,CXW,7141,18.66
1/27/2026,US_live_port,CYD,-1715,47.6
1/27/2026,US_live_port,CYRX,-152,10.23
1/27/2026,US_live_port,CYTK,-830,64.01
1/27/2026,US_live_port,CZR,-2300,21.58
1/27/2026,US_live_port,D,-591,61.13
1/27/2026,US_live_port,DAKT,-6114,21.98
1/27/2026,US_live_port,DAL,-1645,66.14
1/27/2026,US_live_port,DAN,1841,29.91
1/27/2026,US_live_port,DAR,294,44
1/27/2026,US_live_port,DASH,-1154,207.36
1/27/2026,US_live_port,DAVE,4,177.51
1/27/2026,US_live_port,DBI,444,6.91
1/27/2026,US_live_port,DBX,7364,26.53
1/27/2026,US_live_port,DCI,-2919,101.05
1/27/2026,US_live_port,DCO,283,111.29
1/27/2026,US_live_port,DCOM,-156,33.04
1/27/2026,US_live_port,DD,4579,133.8301
1/27/2026,US_live_port,DDOG,236,138.21
1/27/2026,US_live_port,DDS,-98,611.56
1/27/2026,US_live_port,DE,77,519.19
1/27/2026,US_live_port,DEA,-1017,23.2
1/27/2026,US_live_port,DECK,-1824,100.16
1/27/2026,US_live_port,DEI,22809,10.52
1/27/2026,US_live_port,DELL,5701,114.66
1/27/2026,US_live_port,DFH,-6905,18.41
1/27/2026,US_live_port,DFIN,-145,52.06
1/27/2026,US_live_port,DG,1000,147.66
1/27/2026,US_live_port,DGICA,-9928,18.17
1/27/2026,US_live_port,DGII,-2796,43.59
1/27/2026,US_live_port,DGX,-2800,184.24
1/27/2026,US_live_port,DHC,-20569,5.63
1/27/2026,US_live_port,DHI,460,148.59
1/27/2026,US_live_port,DHR,-2141,235.75
1/27/2026,US_live_port,DHT,609,13.61
1/27/2026,US_live_port,DIN,-1329,34.04
1/27/2026,US_live_port,DINO,2197,49.95
1/27/2026,US_live_port,DIOD,1343,58.16
1/27/2026,US_live_port,DIS,-2684,110.61
1/27/2026,US_live_port,DJT,-11112,14.08
1/27/2026,US_live_port,DK,189,28.21
1/27/2026,US_live_port,DKNG,4484,30.11
1/27/2026,US_live_port,DKS,-39,205.81
1/27/2026,US_live_port,DLB,3843,61.36
1/27/2026,US_live_port,DLR,-2829,163.16
1/27/2026,US_live_port,DLTR,40,121.84
1/27/2026,US_live_port,DLX,138,24.4
1/27/2026,US_live_port,DNLI,-1659,21.25
1/27/2026,US_live_port,DNOW,-6962,14.83
1/27/2026,US_live_port,DOC,-17045,17.71
